peer_id,ip,tcp,udp,dialable,connect_error,crawl_error,agent_version,node_kind,fork_digest,attnets,attnets_num,subscribed_subnets,syncnets,opstack_chain_id,protocols_joined,connect_maddr,connect_duration,crawl_duration,visit_started_at,visit_ended_at,seq,enr
16Uiu2HAmPdnaNgid4FF8Evu24wLR8djmUjFyX2qswS7FAS4XWmsC,64.31.23.251,20541,20541,True,,,base,opstack,,,0,,,8453,/floodsub/1.0.0;/ipfs/id/1.0.0;/ipfs/id/push/1.0.0;/ipfs/ping/1.0.0;/meshsub/1.0.0;/meshsub/1.1.0;/meshsub/1.2.0;/opstack/req/payload_by_number/8453/0,/ip4/64.31.23.251/tcp/20541,25.890145ms,170.087156ms,2026-03-30T12:02:15.07238753Z,2026-03-30T12:02:15.242474686Z,1774368524879,enr:-J24QHrue_LI3KNOj0baCCM9uX93-f398Ysfv-GjjssjA_-jcq4cA1ECNhUeQh5VsBmx-KVkFHrjho0jutYYdnGRrmaGAZ0gmwpPgmlkgnY0gmlwhEAfF_uHb3BzdGFja4OFQgCJc2VjcDI1NmsxoQOjIal6cYdHWiWTNAAt5R1fVfTGn0A69Fj8SOPZRgPFl4N0Y3CCUD2DdWRwglA9
16Uiu2HAmQNkpVfdhqjLgzyqmXnixq5wT29Gsy1roRwAUjGS15PFw,57.129.96.1,30101,30101,True,,,Lighthouse/v8.1.3-176cce5/x86_64-linux,consensus,0x8c9f62fe,0x000000000000c000,2,54;55,0x00,,/meshsub/1.2.0;/eth2/beacon_chain/req/status/2/ssz_snappy;/eth2/beacon_chain/req/beacon_blocks_by_root/1/ssz_snappy;/eth2/beacon_chain/req/status/1/ssz_snappy;/eth2/beacon_chain/req/beacon_blocks_by_range/1/ssz_snappy;/eth2/beacon_chain/req/light_client_optimistic_update/1/ssz_snappy;/eth2/beacon_chain/req/metadata/1/ssz_snappy;/eth2/beacon_chain/req/metadata/3/ssz_snappy;/eth2/beacon_chain/req/metadata/2/ssz_snappy;/eth2/beacon_chain/req/goodbye/1/ssz_snappy;/eth2/beacon_chain/req/data_column_sidecars_by_root/1/ssz_snappy;/ipfs/id/1.0.0;/eth2/beacon_chain/req/blob_sidecars_by_root/1/ssz_snappy;/eth2/beacon_chain/req/light_client_finality_update/1/ssz_snappy;/meshsub/1.0.0;/eth2/beacon_chain/req/ping/1/ssz_snappy;/ipfs/id/push/1.0.0;/eth2/beacon_chain/req/data_column_sidecars_by_range/1/ssz_snappy;/eth2/beacon_chain/req/beacon_blocks_by_root/2/ssz_snappy;/eth2/beacon_chain/req/beacon_blocks_by_range/2/ssz_snappy;/eth2/beacon_chain/req/blob_sidecars_by_range/1/ssz_snappy;/meshsub/1.1.0;/eth2/beacon_chain/req/light_client_bootstrap/1/ssz_snappy,/ip4/57.129.96.1/tcp/30101,632.239166ms,1.802564879s,2026-03-30T12:02:13.552205295Z,2026-03-30T12:02:15.354770174Z,4,enr:-Oy4QEQRZWfNBP-Rsb5XVLLMOrLDWd8S3dekdAfLQI6iy36YfxiOH_3ghOiHSI9IBsnl-CR_q3AUxLNmNW7YA8UcbIoEh2F0dG5ldHOIAAAAAAAAwACDY2djgYCGY2xpZW500YpMaWdodGhvdXNlhTguMS4zhGV0aDKQjJ9i_gYAAAD__________4JpZIJ2NIJpcIQ5gWABg25mZISMn2L-hHF1aWOCdZaJc2VjcDI1NmsxoQOuI6aTIqgwzBBp_q9OquqkJoHBD5moPi5nHVloJgWdeohzeW5jbmV0cwCDdGNwgnWVg3VkcIJ1lQ
16Uiu2HAmAtVHnphaiRzTx3fB9Kpj4e9pxLXM3Y13PSeTTSFY8ftU,162.19.136.71,30303,30303,False,negotiate_security_protocol,,,execution,0x07c9462e,,0,,,,,,179.567206ms,1.948265054s,2026-03-30T12:02:13.424402199Z,2026-03-30T12:02:15.372667253Z,1669891893092,enr:-KO4QGA8DlZO5M6P6obLCPA-NA8uHiEfkiNTtqZcZwnLz5EWPcSoxVxPQ6CVEuYyoO4WCCOjiW1lpaBeuxhLuprbU4GGAYTNUCdkg2V0aMfGhAfJRi6AgmlkgnY0gmlwhKITiEeJc2VjcDI1NmsxoQLlveYbe0nM7tDm7D7RRw-AMNyx_XMiSnB3N-ONaosXCYRzbmFwwIN0Y3CCdl-DdWRwgnZf
16Uiu2HAkvhYixa44dnay8mcdLyS2b9fQ8SkvMe9vRHcw1c1e4Lru,148.63.17.24,1028,1028,True,,,Lighthouse/v8.1.3-176cce5/x86_64-linux,consensus,0x8c9f62fe,0x8001000000000000,2,7;8,0x00,,/eth2/beacon_chain/req/ping/1/ssz_snappy;/eth2/beacon_chain/req/data_column_sidecars_by_range/1/ssz_snappy;/eth2/beacon_chain/req/status/2/ssz_snappy;/eth2/beacon_chain/req/data_column_sidecars_by_root/1/ssz_snappy;/eth2/beacon_chain/req/light_client_bootstrap/1/ssz_snappy;/eth2/beacon_chain/req/light_client_finality_update/1/ssz_snappy;/eth2/beacon_chain/req/beacon_blocks_by_root/2/ssz_snappy;/ipfs/id/1.0.0;/eth2/beacon_chain/req/blob_sidecars_by_root/1/ssz_snappy;/eth2/beacon_chain/req/blob_sidecars_by_range/1/ssz_snappy;/meshsub/1.2.0;/eth2/beacon_chain/req/beacon_blocks_by_range/2/ssz_snappy;/eth2/beacon_chain/req/status/1/ssz_snappy;/meshsub/1.1.0;/eth2/beacon_chain/req/beacon_blocks_by_range/1/ssz_snappy;/eth2/beacon_chain/req/metadata/3/ssz_snappy;/eth2/beacon_chain/req/light_client_optimistic_update/1/ssz_snappy;/ipfs/id/push/1.0.0;/eth2/beacon_chain/req/metadata/1/ssz_snappy;/eth2/beacon_chain/req/metadata/2/ssz_snappy;/eth2/beacon_chain/req/goodbye/1/ssz_snappy;/eth2/beacon_chain/req/beacon_blocks_by_root/1/ssz_snappy;/meshsub/1.0.0,/ip4/148.63.17.24/udp/9001/quic-v1,103.899661ms,2.007766788s,2026-03-30T12:02:13.590520055Z,2026-03-30T12:02:15.598286843Z,211439,enr:-QEcuEBTZYJ0bhP3u34oj1MR_LjY32fU23YlEFbg8RAYuIQ4hFQBQHOD7L04Vquv9zhqj5zQVZhBhLcYgl0xI31WNQ0DgwM574dhdHRuZXRziIABAAAAAAAAg2NnYwiGY2xpZW500YpMaWdodGhvdXNlhTguMS4zhGV0aDKQjJ9i_gYAAAD__________4JpZIJ2NIJpcISUPxEYg2lwNpAgAQgY2EXCAH4Qyf_-uBszg25mZISMn2L-hHF1aWOCIymFcXVpYzaCIymJc2VjcDI1NmsxoQIS7MaXYmShMvO1-4MrNduAWCWazMCMsWtDQvXQn6plgohzeW5jbmV0cwCDdGNwggQEhHRjcDaCIyiDdWRwggQEhHVkcDaCIyg
16Uiu2HAkwBVXeAUvV66HwMkGH6YHFyZdsiexjNDPwTLnWGhUfpDX,152.70.23.205,30303,30303,False,negotiate_security_protocol,,,execution,0x45d1e3f1,,0,,,,,,190.327986ms,1.904039339s,2026-03-30T12:02:13.705798766Z,2026-03-30T12:02:15.609838105Z,1746624042143,enr:-Ke4QBdYYxFuk28qwgL3Rsf0Rq3M_EQ4l6hvu0dPzJFeyoqCBFWeTFU9JsS52QVrVuaPdDdYzX5_YPA0kU41hdS2mLyGAZaq59Sfg2V0aMvKhEXR4_GEacu4xIJpZIJ2NIJpcISYRhfNiXNlY3AyNTZrMaECGhVs-BEuC4H79ehBXh5lsQRynoZO7LGZEFt1VijOUVKEc25hcMCDdGNwgnZfg3VkcIJ2Xw
16Uiu2HAkzid7aQdxv8xnNou2rYgFjvNUqXQfs9FaH32ZJFVvzWxA,38.80.81.42,9003,9003,True,,,optimism,opstack,,,0,,,254,/floodsub/1.0.0;/ipfs/id/1.0.0;/ipfs/id/push/1.0.0;/ipfs/ping/1.0.0;/meshsub/1.0.0;/meshsub/1.1.0;/meshsub/1.2.0;/opstack/req/payload_by_number/254/0,/ip4/38.80.81.42/tcp/9003,51.97873ms,334.218212ms,2026-03-30T12:02:15.355002805Z,2026-03-30T12:02:15.689221017Z,1718722288610,enr:-J24QG3la40_jrStOZrzdRG9xPxIBBnnQTxyeVMhWJFIaigPLdOP0hhh1Skq8deEd9cZeFfZxX_gwKrI0sliNESGbQuGAZAr1NvigmlkgnY0gmlwhCZQUSqHb3BzdGFja4P-AQCJc2VjcDI1NmsxoQJOohFpFEgiIq5dK2xiX1uYC06UKEvzXsTerSWYyKuKS4N0Y3CCIyuDdWRwgiMr
16Uiu2HAmE33fehYu8dz93j3vxCDMwqjZsRJeCNsqjbxGzXGmdt4U,185.100.10.93,9000,9000,True,,,,consensus,0x8c9f62fe,0xffffffffffffffff,64,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63,0x0f,,,/ip4/185.100.10.93/udp/9001/quic-v1,112.131207ms,2.212904878s,2026-03-30T12:02:13.498888049Z,2026-03-30T12:02:15.711792937Z,1199,enr:-O64QDqosS8h7RbrmNutrhS_XztDI9SPWZahWJZTZ3gzzVejBO6Z80-6-RDDABHoiR6Ip3oh2pb5JevKC_gTmA3K86OCBK-HYXR0bmV0c4j__________4NjZ2OBgIZjbGllbnTRikxpZ2h0aG91c2WFOC4xLjOEZXRoMpCMn2L-BgAAAP__________gmlkgnY0gmlwhLlkCl2DbmZkhIyfYv6EcXVpY4IjKYlzZWNwMjU2azGhAxSCNvvj0sb0g6mMuEaurg3t6iUVeNSQ5jO8saYfKh61iHN5bmNuZXRzD4N0Y3CCIyiDdWRwgiMo
16Uiu2HAmG36xfd9GgL7LFi9rgoWGKWR5PhDxKLDVDHQddE427T7a,40.160.12.248,30303,30303,False,negotiate_security_protocol,,,execution,0x07c9462e,,0,,,,,,8.489208ms,76.302848ms,2026-03-30T12:02:15.689530328Z,2026-03-30T12:02:15.765833176Z,1724776648434,enr:-KO4QCupMXT8tKELKQH4W5bMp4XoB6vNBHjqrfCPeuqXwE8oEqJgWONQBING2dQ6ScsTf5rA-tZzgyCazRBPY1m0viiGAZGUsw7yg2V0aMfGhAfJRi6AgmlkgnY0gmlwhCigDPiJc2VjcDI1NmsxoQMyPU_963GzFK08Oreojjz6vWLEMslxAWlkzWGw7j8nRYRzbmFwwIN0Y3CCdl-DdWRwgnZf
16Uiu2HAmDT7bcHQwH9cGCBqHVE2EmBxbVNxzmWwJMfkEsr5hTEQf,94.130.242.48,5050,5050,False,negotiate_security_protocol,,,unknown,,,0,,,,,,217.320035ms,2.178566215s,2026-03-30T12:02:13.611176957Z,2026-03-30T12:02:15.789743172Z,1764422337418,enr:-J-4QAGQwdByFPIpuFwpOTqiQ8bO93SuS4yBrRIMERuMsNRGZVzR2azSeg_ZCMnqRDUQ-Z5YJr7e_4T1IabP_47uyLmGAZrPxEOKgmlkgnY0gmlwhF6C8jCFb3BlcmHHxoTz0rG4gIlzZWNwMjU2azGhAwvQ6Uqk3a0iKGbF9uKAudxFeTBoRrOFdTPIfnUCQsuAg3RjcIITuoN1ZHCCE7o
16Uiu2HAmNUjFixXcPPaHYsjttXrzbH6VAVdcVqDAP8nahcR2uHvA,45.142.114.157,12603,12603,True,,,Prysm/v6.0.4/91b44360fcd74bad41f38b79bb3b05094408a2d0,consensus,0xaadde438,0x000000000c000000,2,34;35,0x0f,,/eth2/beacon_chain/req/beacon_blocks_by_range/2/ssz_snappy;/eth2/beacon_chain/req/beacon_blocks_by_root/2/ssz_snappy;/eth2/beacon_chain/req/blob_sidecars_by_range/1/ssz_snappy;/eth2/beacon_chain/req/blob_sidecars_by_root/1/ssz_snappy;/eth2/beacon_chain/req/goodbye/1/ssz_snappy;/eth2/beacon_chain/req/metadata/2/ssz_snappy;/eth2/beacon_chain/req/ping/1/ssz_snappy;/eth2/beacon_chain/req/status/1/ssz_snappy;/floodsub/1.0.0;/ipfs/id/1.0.0;/ipfs/id/push/1.0.0;/meshsub/1.0.0;/meshsub/1.1.0;/meshsub/1.2.0,/ip4/45.142.114.157/tcp/12603,523.314452ms,1.842667975s,2026-03-30T12:02:14.004612693Z,2026-03-30T12:02:15.847280668Z,1774623001823,enr:-Mq4QOEn4c_w3ZguUVjYFZjhHgtyov2gwMQsttuH9owZIP2ofRRzxUGXDd6R9bJdf67HrFFaRYrB6Qiut7JBg_JMqAmGAZ0vxgzfh2F0dG5ldHOIAAAAAAwAAACEZXRoMpCq3eQ4QgAAB___________gmlkgnY0gmlwhC2Ocp2EcXVpY4IyyIlzZWNwMjU2azGhA5Hz_ftehfAcvQM6TR5x9y6ILyr8XloWBEvOWUliInA7iHN5bmNuZXRzD4N0Y3CCMTuDdWRwgjE7
16Uiu2HAmSv8szZUg6S4WSoxhx7btSkSkTsMyb3sNHSHSemxxHJrc,162.19.57.147,9000,9000,False,connection_refused,,,consensus,0x8c9f62fe,0x0000000000600000,2,45;46,0x00,,,,84.936727ms,1.744075858s,2026-03-30T12:02:14.126019161Z,2026-03-30T12:02:15.870095019Z,81,enr:-PC4QJK873_oSENe9C6piPmofCjh2Rxhjd3Ip43iKixPssA5NDgQk8kyeLdoEVYtn7xBJTAZQ9B8OjBl7PnAMC9G2vNRh2F0dG5ldHOIAAAAAABgAACDY2djgYCEZXRoMpCMn2L-BgAAAP__________gmlkgnY0gmlwhKITOZODaXA2kCABQdACA8qTAAAAAAAAAACDbmZkhAAAAACJc2VjcDI1NmsxoQPT5PkpsI6aZ9N0KwSP4Uzj_r1w9RJf9zapMmzJnXtlcYhzeW5jbmV0cwCDdGNwgiMohHRjcDaCIyiDdWRwgiMohHVkcDaCIyg
16Uiu2HAmMkWkiHn7AiudpND9PBoGsJcVKCXffZZcaKuDr9c8Hohw,129.213.23.79,30303,30303,False,negotiate_security_protocol,,,execution,0x3b0af023,,0,,,,,,6.994561ms,63.803162ms,2026-03-30T12:02:15.838027507Z,2026-03-30T12:02:15.901830669Z,1740981137712,enr:-J24QKvjCuQTpoBmbE1vMI4aUXncJurvQP5iv8QUNAScY-8DBXui_vSuU9lOr35gmduPsbub7hEhcu-VJyPNNdCX4imGAZVaj_Ewg2V0aMfGhDsK8COAgmlkgnY0gmlwhIHVF0-Jc2VjcDI1NmsxoQOHI3bQT3-EOL0iXExl96C3vXH0KIH7fPPDPEj_mH8hDoN0Y3CCdl-DdWRwgnZf
16Uiu2HAmBqKBoxkk95CsZiXQmQHv9WMiHXU4Di6wzFuYEKo1i7dg,34.83.127.51,9222,9222,False,connection_reset_by_peer,,,opstack,,,0,,,42220,,,128.68828ms,1.271511541s,2026-03-30T12:02:14.723044721Z,2026-03-30T12:02:15.994556262Z,1774436725866,enr:-J64QNiAGjBNrxce6J0xYvHEjP9zS4i4BhytsjVV_0prsk4IVmXOQXR9u_hK0b0l4oQ4GVqk-d5LON2FAIqobL_uLP-GAZ0kq7RqgmlkgnY0gmlwhCJTfzOHb3BzdGFja4TsyQIAiXNlY3AyNTZrMaEC88lrc6V3LF77SNWjO_GT5YCA2Ca6fwPp1b3vIMBjSk-DdGNwgiQGg3VkcIIkBg
